# mycobench extended panel: nigeria-full
#
# GENERATED from verified NCBI metadata -- do not hand-edit.
#
# All 213 Illumina paired-end, non-bovis Mycobacterium tuberculosis runs whose
# BioSample geo_loc_name confirms Nigeria. 37 free-text matches from the East
# China Sea and 134 BioSamples with no geo_loc_name were excluded.
#
# SEVERELY STUDY-CLUSTERED. Run 'mycobench review-candidates' with
# --max-per-bioproject before using this panel for any interval or significance
# claim; see cohorts/README.md.
#
# phenotype_source is EMPTY on every row: concordance track only.
sample_id	sra_run	biosample	bioproject	organism	geo_loc_name	collection_date	isolation_source	platform	layout	bases	cohort_tier	phenotype_source	source_study
ng_SRR29163948	SRR29163948	SAMN41525221	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	136305284	B		NCBI_discovery_pending_publication_review
ng_SRR29163980	SRR29163980	SAMN41525215	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	158487184	B		NCBI_discovery_pending_publication_review
ng_SRR29163988	SRR29163988	SAMN41525234	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	281528024	B		NCBI_discovery_pending_publication_review
ng_SRR29163987	SRR29163987	SAMN41525235	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	304148428	B		NCBI_discovery_pending_publication_review
ng_SRR29163986	SRR29163986	SAMN41525236	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	319223664	B		NCBI_discovery_pending_publication_review
ng_SRR29163985	SRR29163985	SAMN41525237	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:FCT	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	366839098	B		NCBI_discovery_pending_publication_review
ng_SRR29163984	SRR29163984	SAMN41525238	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:FCT	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	187992584	B		NCBI_discovery_pending_publication_review
ng_SRR29163983	SRR29163983	SAMN41525239	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:FCT	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	411569526	B		NCBI_discovery_pending_publication_review
ng_SRR29163982	SRR29163982	SAMN41525240	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:FCT	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	401581480	B		NCBI_discovery_pending_publication_review
ng_SRR29163981	SRR29163981	SAMN41525241	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:FCT	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	331643716	B		NCBI_discovery_pending_publication_review
ng_SRR29163979	SRR29163979	SAMN41525242	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:FCT	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	335377946	B		NCBI_discovery_pending_publication_review
